Date,Open,High,Low,Close*,Adj Close**,Volume
"Feb 07, 2023","17,790.10","17,811.15","17,652.55","17,721.50","17,721.50","3,54,400"
"Feb 06, 2023","17,818.55","17,823.70","17,698.35","17,764.60","17,764.60","2,82,500"
"Feb 03, 2023","17,721.75","17,870.30","17,584.20","17,854.05","17,854.05","4,24,100"
"Feb 02, 2023","17,517.10","17,653.90","17,445.95","17,610.40","17,610.40","4,90,100"
"Feb 01, 2023","17,811.60","17,972.20","17,353.40","17,616.30","17,616.30","5,12,900"
"Jan 31, 2023","17,731.45","17,735.70","17,537.55","17,662.15","17,662.15","3,98,300"
"Jan 30, 2023","17,541.95","17,709.15","17,405.55","17,648.95","17,648.95","4,32,400"
"Jan 27, 2023","17,877.20","17,884.75","17,493.55","17,604.35","17,604.35","4,76,300"
"Jan 25, 2023","18,093.35","18,100.60","17,846.15","17,891.95","17,891.95","2,57,200"
"Jan 24, 2023","18,183.95","18,201.25","18,078.65","18,118.30","18,118.30","2,16,900"
"Jan 23, 2023","18,118.45","18,162.60","18,063.45","18,118.55","18,118.55","2,02,500"
"Jan 20, 2023","18,115.60","18,145.45","18,016.20","18,027.65","18,027.65","2,37,200"
"Jan 19, 2023","18,119.80","18,155.20","18,063.75","18,107.85","18,107.85","2,37,800"
"Jan 18, 2023","18,074.30","18,183.75","18,032.45","18,165.35","18,165.35","2,55,800"
"Jan 17, 2023","17,922.80","18,072.05","17,886.95","18,053.30","18,053.30","2,19,100"
"Jan 16, 2023","18,033.15","18,049.65","17,853.65","17,894.85","17,894.85","2,06,200"
"Jan 13, 2023","17,867.50","17,999.35","17,774.25","17,956.60","17,956.60","2,56,700"
"Jan 12, 2023","17,920.85","17,945.80","17,761.65","17,858.20","17,858.20","2,27,800"
"Jan 11, 2023","17,924.25","17,976.35","17,824.35","17,895.70","17,895.70","2,59,900"
"Jan 10, 2023","18,121.30","18,127.60","17,856.00","17,914.15","17,914.15","2,83,300"
"Jan 09, 2023","17,952.55","18,141.40","17,936.15","18,101.20","18,101.20","2,57,200"
"Jan 06, 2023","18,008.05","18,047.40","17,795.55","17,859.45","17,859.45","2,38,200"
"Jan 05, 2023","18,101.95","18,120.30","17,892.60","17,992.15","17,992.15","2,69,900"
"Jan 04, 2023","18,230.65","18,243.00","18,020.60","18,042.95","18,042.95","2,35,200"
"Jan 03, 2023","18,163.20","18,251.95","18,149.80","18,232.55","18,232.55","2,08,700"
"Jan 02, 2023","18,131.70","18,215.15","18,086.50","18,197.45","18,197.45","2,56,100"
"Dec 30, 2022","18,259.10","18,265.25","18,080.30","18,105.30","18,105.30","1,92,000"
"Dec 29, 2022","18,045.70","18,229.70","17,992.80","18,191.00","18,191.00","2,81,100"
"Dec 28, 2022","18,084.75","18,173.10","18,068.35","18,122.50","18,122.50","1,93,900"
"Dec 27, 2022","18,089.80","18,149.25","17,967.45","18,132.30","18,132.30","2,14,300"
"Dec 26, 2022","17,830.40","18,084.10","17,774.25","18,014.60","18,014.60","1,76,700"
"Dec 23, 2022","17,977.65","18,050.45","17,779.50","17,806.80","17,806.80","2,21,500"
"Dec 22, 2022","18,288.80","18,318.75","18,068.60","18,127.35","18,127.35","1,95,700"
"Dec 21, 2022","18,435.15","18,473.35","18,162.75","18,199.10","18,199.10","1,87,600"
"Dec 20, 2022","18,340.30","18,404.90","18,202.65","18,385.30","18,385.30","1,69,000"
"Dec 19, 2022","18,288.10","18,431.65","18,244.55","18,420.45","18,420.45","1,54,800"
"Dec 16, 2022","18,319.10","18,440.95","18,255.15","18,269.00","18,269.00","2,77,700"
"Dec 15, 2022","18,614.40","18,652.90","18,387.70","18,414.90","18,414.90","1,83,100"
"Dec 14, 2022","18,671.25","18,696.10","18,632.90","18,660.30","18,660.30","2,08,000"
