Date,Open,High,Low,Close*,Adj Close**,Volume
"Feb 07, 2023","60,511.32","60,655.14","60,063.49","60,286.04","60,286.04","13,600"
"Feb 06, 2023","60,847.21","60,847.21","60,345.61","60,506.90","60,506.90","7,500"
"Feb 03, 2023","60,350.01","60,905.34","60,013.06","60,841.88","60,841.88","9,100"
"Feb 02, 2023","59,459.87","60,007.67","59,215.62","59,932.24","59,932.24","10,400"
"Feb 01, 2023","60,001.17","60,773.44","58,816.84","59,708.08","59,708.08","25,300"
"Jan 31, 2023","59,770.83","59,787.63","59,104.59","59,549.90","59,549.90","9,000"
"Jan 30, 2023","59,101.69","59,644.24","58,699.20","59,500.41","59,500.41","11,500"
"Jan 27, 2023","60,166.90","60,166.90","58,974.70","59,330.90","59,330.90","12,900"
"Jan 25, 2023","60,834.73","60,899.21","60,081.36","60,205.06","60,205.06","8,100"
"Jan 24, 2023","61,122.20","61,266.06","60,849.12","60,978.75","60,978.75","9,500"
"Jan 23, 2023","60,876.01","61,113.27","60,761.88","60,941.67","60,941.67","6,600"
"Jan 20, 2023","60,901.16","61,001.18","60,585.25","60,621.77","60,621.77","6,300"
"Jan 19, 2023","60,920.02","61,032.47","60,716.55","60,858.43","60,858.43","8,500"
"Jan 18, 2023","60,716.03","61,110.25","60,569.19","61,045.74","61,045.74","6,900"
"Jan 17, 2023","60,142.08","60,704.48","60,072.34","60,655.72","60,655.72","6,600"
"Jan 16, 2023","60,550.50","60,586.77","59,963.83","60,092.97","60,092.97","6,500"
"Jan 13, 2023","60,044.96","60,418.26","59,628.43","60,261.18","60,261.18","7,200"
"Jan 12, 2023","60,083.03","60,290.35","59,632.32","59,958.03","59,958.03","6,100"
"Jan 11, 2023","60,134.56","60,364.77","59,805.78","60,105.50","60,105.50","9,700"
"Jan 10, 2023","60,805.14","60,809.65","59,938.38","60,115.48","60,115.48","8,500"
"Jan 09, 2023","60,147.07","60,889.41","60,109.94","60,747.31","60,747.31","8,000"
"Jan 06, 2023","60,388.74","60,537.63","59,669.91","59,900.37","59,900.37","8,600"
"Jan 05, 2023","60,847.50","60,877.06","60,049.84","60,353.27","60,353.27","8,900"
"Jan 04, 2023","61,294.65","61,327.21","60,593.56","60,657.45","60,657.45","7,900"
"Jan 03, 2023","61,074.88","61,343.96","61,004.04","61,294.20","61,294.20","6,700"
"Jan 02, 2023","60,871.24","61,222.79","60,764.63","61,167.79","61,167.79","18,500"
"Dec 30, 2022","61,329.16","61,392.68","60,743.71","60,840.74","60,840.74","8,000"
"Dec 29, 2022","60,628.29","61,210.65","60,479.06","61,133.88","61,133.88","7,900"
"Dec 28, 2022","60,811.52","61,075.33","60,713.77","60,910.28","60,910.28","10,000"
"Dec 27, 2022","60,861.41","60,986.68","60,405.66","60,927.43","60,927.43","11,100"
"Dec 26, 2022","59,755.08","60,833.78","59,754.10","60,566.42","60,566.42","6,500"
"Dec 23, 2022","60,205.56","60,546.88","59,765.56","59,845.29","59,845.29","8,100"
"Dec 22, 2022","61,257.17","61,464.38","60,637.24","60,826.22","60,826.22","9,100"
"Dec 21, 2022","61,993.71","62,006.46","60,938.38","61,067.24","61,067.24","6,600"
"Dec 20, 2022","61,608.85","61,780.37","61,102.68","61,702.29","61,702.29","4,500"
"Dec 19, 2022","61,405.80","61,844.92","61,265.31","61,806.19","61,806.19","4,800"
"Dec 16, 2022","61,534.24","61,893.22","61,292.53","61,337.81","61,337.81","7,000"
"Dec 15, 2022","62,530.07","62,624.81","61,715.61","61,799.03","61,799.03","5,600"
"Dec 14, 2022","62,685.94","62,835.11","62,591.28","62,677.91","62,677.91","5,700"
"Dec 13, 2022","62,300.67","62,567.92","62,129.57","62,533.30","62,533.30","12,000"
"Dec 12, 2022","61,770.56","62,239.42","61,676.15","62,130.57","62,130.57","7,000"
"Dec 09, 2022","62,690.86","62,735.42","61,889.11","62,181.67","62,181.67","7,300"
"Dec 08, 2022","62,504.04","62,633.56","62,320.18","62,570.68","62,570.68","13,700"
"Dec 07, 2022","62,615.52","62,759.97","62,316.65","62,410.68","62,410.68","4,800"
"Dec 06, 2022","62,395.55","62,677.84","62,390.07","62,626.36","62,626.36","6,100"
